244,1,입추,20250807,0
245,1,처서,20250823,0
246,1,백로,20250907,0
247,1,추분,20250923,0
248,1,한로,20251008,0
249,1,상강,20251023,0
250,1,입동,20251107,0
251,1,소설,20251122,0
252,1,대설,20251207,0
253,1,동지,20251222,0
254,1,국군의날,20201001,0
255,1,국군의날,20211001,0
256,1,국군의날,20221001,0
257,1,국군의날,20231001,0
258,1,국군의날,20241001,0
259,1,국군의날,20251001,0
